"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","setUp","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","broken","Tue Mar 31 09:56:26 UTC 2026","bai2_pom.tests.CartTest","Critical Functionality Smoke Tests","bai2_pom.tests.CartTest","setUp"
"","0","Xác nhận nhiều sản phẩm trong giỏ hàng","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai2_pom.tests.CartTest","Critical Functionality Smoke Tests","bai2_pom.tests.CartTest","testAddMultipleItemsAndVerify"
"Kiểm tra việc thêm sản phẩm đầu tiên vào giỏ hàng và xác nhận badge count cập nhật.","2","Thêm sản phẩm vào giỏ hàng","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai2_pom.tests.CartTest","Critical Functionality Smoke Tests","bai2_pom.tests.CartTest","testAddItemToCart"
"Kiểm thử tính năng đăng nhập với nhiều kịch bản (Success/Failure) sử dụng DataProvider và Allure Annotations.","1","DDT Login Test with Allure Report","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","testLogin"
"","1","setUp","Smoke Test Suite","Tue Mar 31 09:56:21 UTC 2026","broken","Tue Mar 31 09:56:21 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","setUp"
"Kiểm tra quy trình thêm sản phẩm vào giỏ, sau đó vào giỏ hàng để xóa và xác nhận giỏ hàng trống.","0","Xóa sản phẩm khỏi giỏ hàng","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai2_pom.tests.CartTest","Critical Functionality Smoke Tests","bai2_pom.tests.CartTest","testRemoveItemFromCart"
"Kiểm thử tính năng đăng nhập với nhiều kịch bản (Success/Failure) sử dụng DataProvider và Allure Annotations.","1","DDT Login Test with Allure Report","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","testLogin"
"Kiểm thử tính năng đăng nhập với nhiều kịch bản (Success/Failure) sử dụng DataProvider và Allure Annotations.","0","DDT Login Test with Allure Report","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","testLogin"
"Kiểm thử tính năng đăng nhập với nhiều kịch bản (Success/Failure) sử dụng DataProvider và Allure Annotations.","0","DDT Login Test with Allure Report","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","testLogin"
"","2","setUp","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","broken","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","setUp"
"","1","setUp","Smoke Test Suite","Tue Mar 31 09:56:21 UTC 2026","broken","Tue Mar 31 09:56:21 UTC 2026","bai2_pom.tests.CartTest","Critical Functionality Smoke Tests","bai2_pom.tests.CartTest","setUp"
"Kiểm thử tính năng đăng nhập với nhiều kịch bản (Success/Failure) sử dụng DataProvider và Allure Annotations.","1","DDT Login Test with Allure Report","Smoke Test Suite","Tue Mar 31 09:56:26 UTC 2026","skipped","Tue Mar 31 09:56:26 UTC 2026","bai7_refactor.tests.LoginTest","Critical Functionality Smoke Tests","bai7_refactor.tests.LoginTest","testLogin"
